id,name,state,stars,reviews,yelp_category
_id__ab50qdWOk0DdB6XOrBitw,Acme Oyster House,LA,4,7568,Seafood
_id_ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,LA,4,7400,Seafood
_id_oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,LA,4.5,5193,American
_id_iSRTaT9WngzB8JJ2YKJUig,Other,LA,3.5,5185,American
_id_VQcCL9PiNL_wkGf-uF3fjg,Royal House,LA,4,5070,American
_id__C7QiQQc47AOEv4PE3Kong,Commander's Palace,LA,4.5,4876,American
_id_GBTPC53ZrG1ZBY3DT8Mbcw,Luke,LA,4,4554,American
_id_6a4gLLFSgr-Q6CZXDLzBGQ,Cochon,LA,4,4421,Seafood
_id_VaO-VW3e1kARkU9bP1E7Fw,Other,LA,4,3966,Seafood
_id_qb28j-FNX1_6xm7u372TZA,Gumbo Shop,LA,4,3902,Seafood
_id_gTC8IQ_i8zXytWSly3Ttvg,Cochon Butcher,LA,4.5,3837,Sandwitches
_id_yPSejq3_erxo9zdVYTBnZA,Los Agaves,CA,4.5,3834,Mexican
_id_VVH6k9-ycttH3TV_lk5WfQ,Willie Mae's Scotch House,LA,4.5,3582,Other
_id_QHWYlmVbLC3K6eglWoHVvA,Datz,FL,4,3260,American
_id_DcBLYSvOuWcNReolRVr12A,Other,LA,3.5,3160,Seafood
_id_XnQ84ylyAZwh-XfHGGNBbQ,Coop's Place,LA,3.5,3157,Bars
_id_L5LLN0RafiV1Z9cddzvuCw,Ulele,FL,4,3064,American
_id_U3grYFIeu6RgAAQgdriHww,Brophy Bros - Santa Barbara,CA,4,2940,Seafood
_id_dsfRniRgfbDjC8os848B6A,Bern's Steak House,FL,4.5,2924,Steakhouse
_id_3YqUe2FTCQr0pPVK8oCv6Q,Other,FL,4,2860,American
_id_ww3YJXu5c18aGZXWmm00qg,Café Amelie,LA,4.5,2756,American
_id_Y2Pfil51rNvTd_lFHwzb_g,Cafe Beignet on Royal Street,LA,4,2688,Sandwitches
_id_skY6r8WAkYqpV7_TxNm23w,Boathouse at Hendry's Beach,CA,4,2536,American
_id_RLlOK2fL6xU1sfIPiP2QBw,Deanie's Seafood,LA,3.5,2473,American
_id_9xdXS7jtWjCVzL4_oPGv9A,GW Fins,LA,4.5,2443,Seafood
_id_ChlcxTEoWBQJXJ2Xb2vm5g,Other,LA,4,2417,American
_id_EagkHaaC-kUozD3MPzbRIw,Stanley,LA,4,2406,Breakfast
_id_mhrW9O0O5hXGXGnEYBVoag,Jacques-Imo's Cafe,LA,4.5,2406,Seafood
_id_SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,CA,4,2404,Seafood
_id_6Ty-KKWq6hLZYW8DWEHYvg,Pat O'Brien’s,LA,4,2367,American
_id_DXDoh8MNrqjtXsZnkuk4hA,Frenchy's Rockaway Grill,FL,4,2301,American
_id_TcNZXteosegb1RO4O5hREw,Parkway Bakery & Tavern,LA,4.5,2160,Seafood
_id_PGd06nrseC2YAIqP6S9gUA,Ruby Slipper Cafe,LA,4,2159,American
_id_BjeHLwKOlHyV6DJgmZxAjA,Jimmy J's Cafe,LA,4,2137,American
_id_vN6v8m4DO45Z4pp8yxxF_w,Surrey's Café & Juice Bar,LA,4.5,2084,Bars
_id_W4ZEKkva9HpAdZG88juwyQ,Mr. B's Bistro,LA,4,2064,Bars
_id_8uF-bhJFgT4Tn6DTb27viA,District Donuts Sliders Brew,LA,4.5,2062,American
_id_75FY8ZQx5nOWP0VFmNvWfw,Other,LA,4.5,2037,American
_id_iwmW2mgcn2YdirXUHCsgXQ,Bourbon House,LA,3.5,2026,Seafood
_id_hfbZ97Te3T4jeWN6GgsGrQ,Willa Jean,LA,4,2010,American
_id_c-iKAO2GBzSKjm7y1Oljcw,Red Fish Grill,LA,4,1984,Seafood
_id_Zi-F-YvyVOK0k5QD7lrLOg,Muriel's Jackson Square,LA,4,1963,Cajun
_id_V9VLhHdSFpFi4yXFqVcVEA,Pêche,LA,4,1926,Seafood
_id_Vz2RN55rTJBGn43K1v84nA,Domenica,LA,4,1906,Italian
_id_U4X-tzwvTzW8uWxs2KIPtg,The Original Pierre Maspero's,LA,4,1886,Seafood
_id_FEXhWNCMkv22qG04E83Qjg,Café Du Monde,LA,4,1880,Coffee & Tea
_id_p_qSQwShIgQnNxGcajI4-w,Oxford Exchange,FL,4.5,1868,American
_id_g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,LA,4,1865,Breakfast
_id_e5fCI12X_GLCST668S4ROA,The Court of Two Sisters,LA,3.5,1827,Breakfast
_id_Ps7Q7BOKzJO4nDTUhbk43Q,Clear Sky Cafe,FL,4.5,1824,American
_id_jbJTF1zVmZsk4hea8hoeVA,Fork,ID,4,1810,American
_id_GuzbBFraIq-fbkjfvaTRvg,Mesa Verde,CA,4.5,1796,Mediterranean
_id_fCDMLD21ypv1XZ_EyafCkQ,Bodega,FL,4.5,1772,American
_id_6RBZfirnzE4NahJTn1UPNA,La Super-Rica Taqueria,CA,4,1759,Mexican
_id_t9LiapsQABwMQeiF1Czl6w,Port Of Call,LA,4,1703,Burgers
_id_yz0KWVamNhqiZGz7XTClzg,SoBou,LA,4,1649,American
_id_8UPv1p9GW-BiZtQqUt8nOA,Neyow's Creole Cafe,LA,4,1646,Seafood
_id_u7uFQCoHFtBKCtbWUm6yZw,Emeril's ,LA,4,1608,American
_id_WXgV2lOUgas7DzTLeDau-w,The Rum House,LA,4,1599,Mexican
_id_ku8cAVBLaF_4rI-yK6gNnQ,Brennan's,LA,4,1598,Cajun
_id_S2Ho8yLxhKAa26pBAm6rxA,Other,LA,4,1594,Seafood
_id_2KIDQyTh-HzLxOUEDqtDBg,Mazzaro's Italian Market,FL,4.5,1551,Italian
_id_EtM079Cj7-B3G7jPsGYb_Q,Sandbar,CA,3.5,1546,Mexican
_id_oGDGlUbOjHxmmCh8ZYcDCg,The Lark,CA,4,1520,American
_id_edJoBsse6nsF0BYh6pATAg,The Palace Grill,CA,4.5,1500,American
_id_nk96iwJV1_p2HECYQW1ysA,French Quarter Phantoms,LA,4.5,1481,Bars
_id_KXecZki-_3N7afs6HKWM3A,Ichicoro Ramen,FL,4,1466,Japanese
_id_24f-qQokEN2UvBNHMWLm3A,Other,LA,3.5,1460,Cajun
_id_3Wy21heeDm8h2tSZfcj6OA,Lure Fish House,CA,4.5,1453,American
_id_tthy48ZIX_wfY8Dy0Dvg6w,Bouchon,CA,4.5,1452,American
_id_Bj7DL3SwmYHZYqPduAsa2w,Johnny's Po-Boys,LA,3.5,1451,Sandwitches
_id_RqW9S4WG9UYZHKhHRHXJZg,Lolis Mexican Cravings,FL,4.5,1449,Mexican
_id_3WU1ZobAqXQ07xYoKE2Vyg,Daisy Dukes - French Quarter,LA,3.5,1437,Seafood
_id_2DTkzhmMpv5fIPKheePClA,Shaya,LA,4.5,1433,American
_id_nYsNsyIppe_DTueBha1x9A,Red Mesa Cantina,FL,4,1427,American
_id_l4IeGBHXV2E8S8COd9rx9A,Rusty Bellies,FL,4.5,1421,American
_id_LdECsE8lJS7v5GTFTcjPSg,Crabby Bill's Seafood,FL,4,1398,Seafood
_id_59-56qbtgwGigLNNsZiVZQ,Snapper's Sea Grill,FL,4.5,1388,Seafood
_id_8A5LSwsKK5vXDH1M3_Tf1w,"The Ritz-Carlton Bacara, Santa Barbara",CA,3.5,1383,American
_id_1Vo4BLw75ntATAJHYsxO3g,Whiskey Joe's Bar & Grill - Tampa,FL,3,1368,American
_id_TV81bpCQ6p6o4Hau5hk-zw,Other,FL,4.5,1368,Bakeries
_id_cE_gYW3CHEducTkEyxTDdA,Bartaco,FL,4,1368,Mexican
_id_IZZ_uR2ps5KuuyE0n--jVA,Other,LA,4,1352,Bars
_id_bp5Mk2d0qofUeF5uLauIbg,Chef Ron's Gumbo Stop,LA,4.5,1350,Cajun
_id_UeYZgcORV2Veo_BZzdiaTg,Napoleon House,LA,4,1335,American
_id_UGefDZNmnBztS0eoXWtHyQ,The Joint,LA,4.5,1335,Bars
_id_I3Uy20BKx7G-Fzz6hLIeWg,Other,LA,4.5,1326,American
_id_BbnL_wJLB-EHvFx0dXuAjg,Olde Nola Cookery,LA,4,1318,Seafood
_id_FaY_9x8ZtsuHe5wS2iJM1Q,Verti Marte,LA,4,1309,Sandwitches
_id_EME5hqQLjBD7e2cLryupbA,Mr Ed's Oyster Bar - Bienville,LA,4.5,1306,Seafood
_id_1jeaxiZOisgDMxHR2K088g,Guppys on the Beach,FL,4.5,1292,American
_id_hExi86DTBlmIhB2FLvqrHg,On Swann,FL,4.5,1291,American
_id_pym7c6ZFEtmoH16xN2ApBg,Other,LA,4.5,1289,American
_id_Rl42JbSMsmNW3LRjsTMYAg,Freebirds,CA,4,1270,Mexican
_id_9HvjjSwxxubIhG6E_sObfQ,NOLA Poboys,LA,4,1269,Seafood
_id_FEBwxZMEpxRwVXx9Fm0XZw,Chad's,CA,4,1268,American
_id_0d1dpaZqcm7litFOJl7atA,Noble Crust,FL,4.5,1259,American
_id_XuQ5ekbJ9eRUX06JTqJHaQ,Other,FL,4.5,1257,American
_id_QaFbv7aLQBcfT4xMF1_WnQ,Rockfire Grill,CA,4.5,1246,Pizza
_id_SJIQFKTW6uUsOo29w9IHxw,Mambo's,LA,4,1223,Seafood
_id_9ugpNKKhnYRa51qXoxUw_A,Lilly's Tacos,CA,4.5,1219,Mexican
_id_fVUurZgbWXzp2QzDzJzmpA,Pickles & Swiss,CA,4.5,1213,Sandwitches
_id_DKtAKuOjI6vUAHhW4NR5UA,Mulate's,LA,3,1210,Seafood
_id_GmXC3CBu172Bkb0c6RnO7w,Other,LA,4.5,1210,Seafood
_id_9cu2p2Z925hHkWHVyrp1JQ,Hawkers Asian Street Food,FL,4,1202,Asian Fusion
_id_EQP8f7Rq5KXknJixlwxZEw,Salt Rock Grill,FL,4,1192,American
_id_Bxmhm659VqrQYHc0hiku5w,Eddie & Sam's NY Pizza,FL,4.5,1182,Pizza
_id_26jYcdFR5oLqKDKpTH0JIQ,Other,LA,4,1178,Seafood
_id_CgiwCrXs3Ggu9eKFPIgjtA,Conch Republic Grill,FL,4,1175,Seafood
_id_uZYBF0YTU_iKq4_L_PDtMQ,Zaytoon,CA,4,1168,Mediterranean
_id_H26zRyQkXXYzUZUOtppFcA,Green Lemon,FL,4.5,1166,American
_id_jMZ56S8Y1t7cA1Ob-d-qeA,Three Muses,LA,4,1165,American
_id_8kh6Z3c8UHQKmsy0_TbOnA,Carmo,LA,4.5,1164,American
_id_uYMVRPYEqpmVXWN2xOs5KQ,Other,FL,4,1154,American
_id_gzMlFR9ViVCr_HUYPgqqVg,Sylvain,LA,4,1151,American
_id_5oX4G1cptixPZecih9L3dg,Daily Eats,FL,4,1147,American
_id_9f5GXEeTvBWnrZ-AHEjgJQ,The Original Crabby Bills,FL,4,1144,Seafood
_id_EYw42-YsnMr0pbqM5YXRxw,Engine No 9,FL,4.5,1141,American
_id_E7RtIisUoRMcADSebBgNAA,Santa Barbara FisHouse,CA,3.5,1140,Seafood
_id__78Lam9Jd0W6ZmnHTvdjMg,Armature Works,FL,4.5,1119,Bars
_id__0QZGrg91aaiMhh7tQyYYg,Jacksons Bistro Bar & Sushi,FL,3.5,1115,American
_id__zzNQl6ImFw_B64cSdaoGA,Seabreeze Island Grill,FL,4,1108,American
_id_SYHDOHRNAH-2xsw3XB5qbg,The Shop Kitchen,CA,4.5,1108,American
_id_Ss6f5v_t5Vddiaz4ZOxL0g,Other,CA,4,1106,Bakeries
_id_AlH5V97JSAu7AL_xdibMIg,Bahama Breeze,FL,3.5,1099,American
_id_KP5OncF2jhT7_J1phHPPww,Other,FL,4,1092,Mexican
_id_UnQriKTiNsYnyPE3Rt8lTQ,Tableau,LA,4,1087,Seafood
_id_4gszBjoouIzfi1ltSQZ2BQ,Tampa Bay Brewing Company,FL,4,1086,American
_id_6EizP0XyqITuGZ8GZMI9Lw,Other,CA,4.5,1084,American
_id_JvawJ9bSr22xn4R9oLvl_w,Desire Oyster Bar,LA,4,1084,Seafood
_id_Meww6RIE4cFL_kG0aRlbAA,Blue Oak BBQ,LA,4.5,1077,Bars
_id_CziOtnFSklimJnBgksDDwA,Pascucci,CA,3.5,1069,Italian
_id_I6L0Zxi5Ww0zEWSAVgngeQ,Cafe Beignet on Bourbon Street,LA,3.5,1066,Sandwitches
_id_zT2OzXDWKK1abapHs2RUrQ,The Boardwalk Grill,FL,4.5,1060,American
_id_uR7G8I4Cef9D9R340TN24Q,Trenasse,LA,4,1059,American
_id_KlZvP_k_VEJV0G-6tTqnqQ,Pier 424 Seafood Market,LA,3.5,1053,Seafood
_id_EZc2myE2mYk2h9JK9qu8gw,Finney's Crafthouse,CA,4.5,1047,American
_id_eCikDKFbaeYVNdCD2beX0Q,Dat Dog,LA,4,1038,American
_id_0qu0fNTOsSmuREYVIMPuIQ,Cold Spring Tavern,CA,4.5,1018,American
_id_5fSPNlVUBGMExOy9lgFn0A,Other,FL,4,1017,American
_id_c0F9yKr0bJuQDtG1lzDgmQ,Craft Street Kitchen - Oldsmar,FL,4.5,1013,American
_id_cmvseNCdevDdxbxlz3KkWw,Shrimpys Blues Bistro,FL,4.5,1008,American
_id_3db1R99-mdSvx3QwryJSNQ,The Camellia Grill,LA,4,1007,American
_id_OCzo8T-76iJ_QVB2UX5SEQ,Killer Poboys,LA,4,1006,American
