business_id,name,state,stars,reviews,yelp_category
biz_id__ab50qdWOk0DdB6XOrBitw,Acme Oyster House,LA,4,7568,Seafood
biz_id_ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,LA,4,7400,Seafood
biz_id_oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,LA,4.5,5193,American
biz_id_iSRTaT9WngzB8JJ2YKJUig,Other,LA,3.5,5185,American
biz_id_VQcCL9PiNL_wkGf-uF3fjg,Royal House,LA,4,5070,American
biz_id__C7QiQQc47AOEv4PE3Kong,Commander's Palace,LA,4.5,4876,American
biz_id_GBTPC53ZrG1ZBY3DT8Mbcw,Luke,LA,4,4554,American
biz_id_yPSejq3_erxo9zdVYTBnZA,Los Agaves,CA,4.5,3834,Mexican
biz_id_VVH6k9-ycttH3TV_lk5WfQ,Willie Mae's Scotch House,LA,4.5,3582,Other
biz_id_QHWYlmVbLC3K6eglWoHVvA,Datz,FL,4,3260,American
biz_id_DcBLYSvOuWcNReolRVr12A,Other,LA,3.5,3160,Seafood
biz_id_XnQ84ylyAZwh-XfHGGNBbQ,Coop's Place,LA,3.5,3157,Bars
biz_id_L5LLN0RafiV1Z9cddzvuCw,Ulele,FL,4,3064,American
biz_id_U3grYFIeu6RgAAQgdriHww,Brophy Bros - Santa Barbara,CA,4,2940,Seafood
biz_id_dsfRniRgfbDjC8os848B6A,Bern's Steak House,FL,4.5,2924,Steakhouse
biz_id_3YqUe2FTCQr0pPVK8oCv6Q,Other,FL,4,2860,American
biz_id_ww3YJXu5c18aGZXWmm00qg,Café Amelie,LA,4.5,2756,American
biz_id_Y2Pfil51rNvTd_lFHwzb_g,Cafe Beignet on Royal Street,LA,4,2688,Sandwitches
biz_id_skY6r8WAkYqpV7_TxNm23w,Boathouse at Hendry's Beach,CA,4,2536,American
biz_id_RLlOK2fL6xU1sfIPiP2QBw,Deanie's Seafood,LA,3.5,2473,American
biz_id_9xdXS7jtWjCVzL4_oPGv9A,GW Fins,LA,4.5,2443,Seafood
biz_id_ChlcxTEoWBQJXJ2Xb2vm5g,Other,LA,4,2417,American
biz_id_EagkHaaC-kUozD3MPzbRIw,Stanley,LA,4,2406,Breakfast
biz_id_mhrW9O0O5hXGXGnEYBVoag,Jacques-Imo's Cafe,LA,4.5,2406,Seafood
biz_id_SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,CA,4,2404,Seafood
biz_id_6Ty-KKWq6hLZYW8DWEHYvg,Pat O'Brien’s,LA,4,2367,American
biz_id_DXDoh8MNrqjtXsZnkuk4hA,Frenchy's Rockaway Grill,FL,4,2301,American
biz_id_p_qSQwShIgQnNxGcajI4-w,Oxford Exchange,FL,4.5,1868,American
biz_id_g04aAvgol7IW8buqSbT4xA,Cafe Fleur De Lis,LA,4,1865,Breakfast
biz_id_e5fCI12X_GLCST668S4ROA,The Court of Two Sisters,LA,3.5,1827,Breakfast
biz_id_Ps7Q7BOKzJO4nDTUhbk43Q,Clear Sky Cafe,FL,4.5,1824,American
biz_id_jbJTF1zVmZsk4hea8hoeVA,Fork,ID,4,1810,American
biz_id_GuzbBFraIq-fbkjfvaTRvg,Mesa Verde,CA,4.5,1796,Mediterranean
biz_id_fCDMLD21ypv1XZ_EyafCkQ,Bodega,FL,4.5,1772,American
biz_id_6RBZfirnzE4NahJTn1UPNA,La Super-Rica Taqueria,CA,4,1759,Mexican
biz_id_ku8cAVBLaF_4rI-yK6gNnQ,Brennan's,LA,4,1598,Cajun
biz_id_S2Ho8yLxhKAa26pBAm6rxA,Other,LA,4,1594,Seafood
biz_id_2KIDQyTh-HzLxOUEDqtDBg,Mazzaro's Italian Market,FL,4.5,1551,Italian
biz_id_EtM079Cj7-B3G7jPsGYb_Q,Sandbar,CA,3.5,1546,Mexican
biz_id_oGDGlUbOjHxmmCh8ZYcDCg,The Lark,CA,4,1520,American
biz_id_edJoBsse6nsF0BYh6pATAg,The Palace Grill,CA,4.5,1500,American
biz_id_nk96iwJV1_p2HECYQW1ysA,French Quarter Phantoms,LA,4.5,1481,Bars
biz_id_KXecZki-_3N7afs6HKWM3A,Ichicoro Ramen,FL,4,1466,Japanese
biz_id_24f-qQokEN2UvBNHMWLm3A,Other,LA,3.5,1460,Cajun
biz_id_3Wy21heeDm8h2tSZfcj6OA,Lure Fish House,CA,4.5,1453,American
biz_id_tthy48ZIX_wfY8Dy0Dvg6w,Bouchon,CA,4.5,1452,American
biz_id_Bj7DL3SwmYHZYqPduAsa2w,Johnny's Po-Boys,LA,3.5,1451,Sandwitches
biz_id_RqW9S4WG9UYZHKhHRHXJZg,Lolis Mexican Cravings,FL,4.5,1449,Mexican
biz_id_3WU1ZobAqXQ07xYoKE2Vyg,Daisy Dukes - French Quarter,LA,3.5,1437,Seafood
biz_id_2DTkzhmMpv5fIPKheePClA,Shaya,LA,4.5,1433,American
biz_id_nYsNsyIppe_DTueBha1x9A,Red Mesa Cantina,FL,4,1427,American
biz_id_l4IeGBHXV2E8S8COd9rx9A,Rusty Bellies,FL,4.5,1421,American
biz_id_LdECsE8lJS7v5GTFTcjPSg,Crabby Bill's Seafood,FL,4,1398,Seafood
biz_id_59-56qbtgwGigLNNsZiVZQ,Snapper's Sea Grill,FL,4.5,1388,Seafood
biz_id_8A5LSwsKK5vXDH1M3_Tf1w,"The Ritz-Carlton Bacara, Santa Barbara",CA,3.5,1383,American
biz_id_1Vo4BLw75ntATAJHYsxO3g,Whiskey Joe's Bar & Grill - Tampa,FL,3,1368,American
biz_id_TV81bpCQ6p6o4Hau5hk-zw,Other,FL,4.5,1368,Bakeries
biz_id_cE_gYW3CHEducTkEyxTDdA,Bartaco,FL,4,1368,Mexican
biz_id_IZZ_uR2ps5KuuyE0n--jVA,Other,LA,4,1352,Bars
biz_id_1jeaxiZOisgDMxHR2K088g,Guppys on the Beach,FL,4.5,1292,American
biz_id_hExi86DTBlmIhB2FLvqrHg,On Swann,FL,4.5,1291,American
biz_id_pym7c6ZFEtmoH16xN2ApBg,Other,LA,4.5,1289,American
biz_id_Rl42JbSMsmNW3LRjsTMYAg,Freebirds,CA,4,1270,Mexican
biz_id_9HvjjSwxxubIhG6E_sObfQ,NOLA Poboys,LA,4,1269,Seafood
biz_id_FEBwxZMEpxRwVXx9Fm0XZw,Chad's,CA,4,1268,American
biz_id_0d1dpaZqcm7litFOJl7atA,Noble Crust,FL,4.5,1259,American
biz_id_XuQ5ekbJ9eRUX06JTqJHaQ,Other,FL,4.5,1257,American
biz_id_QaFbv7aLQBcfT4xMF1_WnQ,Rockfire Grill,CA,4.5,1246,Pizza
biz_id_SJIQFKTW6uUsOo29w9IHxw,Mambo's,LA,4,1223,Seafood
biz_id_9ugpNKKhnYRa51qXoxUw_A,Lilly's Tacos,CA,4.5,1219,Mexican
biz_id_fVUurZgbWXzp2QzDzJzmpA,Pickles & Swiss,CA,4.5,1213,Sandwitches
biz_id_DKtAKuOjI6vUAHhW4NR5UA,Mulate's,LA,3,1210,Seafood
biz_id_GmXC3CBu172Bkb0c6RnO7w,Other,LA,4.5,1210,Seafood
biz_id_9cu2p2Z925hHkWHVyrp1JQ,Hawkers Asian Street Food,FL,4,1202,Asian Fusion
biz_id_EQP8f7Rq5KXknJixlwxZEw,Salt Rock Grill,FL,4,1192,American
biz_id_Bxmhm659VqrQYHc0hiku5w,Eddie & Sam's NY Pizza,FL,4.5,1182,Pizza
biz_id_26jYcdFR5oLqKDKpTH0JIQ,Other,LA,4,1178,Seafood
biz_id_CgiwCrXs3Ggu9eKFPIgjtA,Conch Republic Grill,FL,4,1175,Seafood
biz_id_uZYBF0YTU_iKq4_L_PDtMQ,Zaytoon,CA,4,1168,Mediterranean
biz_id_H26zRyQkXXYzUZUOtppFcA,Green Lemon,FL,4.5,1166,American
biz_id_jMZ56S8Y1t7cA1Ob-d-qeA,Three Muses,LA,4,1165,American
biz_id_8kh6Z3c8UHQKmsy0_TbOnA,Carmo,LA,4.5,1164,American
biz_id_uYMVRPYEqpmVXWN2xOs5KQ,Other,FL,4,1154,American
biz_id_gzMlFR9ViVCr_HUYPgqqVg,Sylvain,LA,4,1151,American
biz_id_5oX4G1cptixPZecih9L3dg,Daily Eats,FL,4,1147,American
biz_id_9f5GXEeTvBWnrZ-AHEjgJQ,The Original Crabby Bills,FL,4,1144,Seafood
biz_id_EYw42-YsnMr0pbqM5YXRxw,Engine No 9,FL,4.5,1141,American
biz_id_E7RtIisUoRMcADSebBgNAA,Santa Barbara FisHouse,CA,3.5,1140,Seafood
biz_id__78Lam9Jd0W6ZmnHTvdjMg,Armature Works,FL,4.5,1119,Bars
biz_id__0QZGrg91aaiMhh7tQyYYg,Jacksons Bistro Bar & Sushi,FL,3.5,1115,American
biz_id__zzNQl6ImFw_B64cSdaoGA,Seabreeze Island Grill,FL,4,1108,American
biz_id_SYHDOHRNAH-2xsw3XB5qbg,The Shop Kitchen,CA,4.5,1108,American
biz_id_Ss6f5v_t5Vddiaz4ZOxL0g,Other,CA,4,1106,Bakeries
biz_id_AlH5V97JSAu7AL_xdibMIg,Bahama Breeze,FL,3.5,1099,American
biz_id_KP5OncF2jhT7_J1phHPPww,Other,FL,4,1092,Mexican
biz_id_UnQriKTiNsYnyPE3Rt8lTQ,Tableau,LA,4,1087,Seafood
biz_id_6EizP0XyqITuGZ8GZMI9Lw,Other,CA,4.5,1084,American
biz_id_JvawJ9bSr22xn4R9oLvl_w,Desire Oyster Bar,LA,4,1084,Seafood
biz_id_Meww6RIE4cFL_kG0aRlbAA,Blue Oak BBQ,LA,4.5,1077,Bars
biz_id_CziOtnFSklimJnBgksDDwA,Pascucci,CA,3.5,1069,Italian
biz_id_I6L0Zxi5Ww0zEWSAVgngeQ,Cafe Beignet on Bourbon Street,LA,3.5,1066,Sandwitches
biz_id_uR7G8I4Cef9D9R340TN24Q,Trenasse,LA,4,1059,American
biz_id_KlZvP_k_VEJV0G-6tTqnqQ,Pier 424 Seafood Market,LA,3.5,1053,Seafood
biz_id_EZc2myE2mYk2h9JK9qu8gw,Finney's Crafthouse,CA,4.5,1047,American
biz_id_eCikDKFbaeYVNdCD2beX0Q,Dat Dog,LA,4,1038,American
